ID	adj.P.Val	P.Value	logFC	miRNA_ID
hsa-miR-6503-5p	0.21	0.0497031	-0.30058	hsa-miR-6503-5p
hsa-miR-4455	0.2143	0.0509965	-0.79089	hsa-miR-4455
hsa-miR-338-5p	0.2214	0.0530536	-0.37608	hsa-miR-338-5p
hsa-miR-574-5p	0.2214	0.0532773	-0.51302	hsa-miR-574-5p
hsa-miR-3180-5p	0.2214	0.0534716	-0.28717	hsa-miR-3180-5p
hsa-miR-3164	0.2289	0.0560004	-0.62647	hsa-miR-3164
hsa-miR-181a-3p	0.2289	0.0560876	-0.63719	hsa-miR-181a-3p
hsa-miR-3614-5p	0.2289	0.0561281	-0.92015	hsa-miR-3614-5p
hsa-miR-219a-1-3p	0.2315	0.0571083	-0.66789	hsa-miR-219a-1-3p
hsa-miR-548al	0.2315	0.0573145	-0.64777	hsa-miR-548al
hsa-miR-651-5p	0.2367	0.0589349	-0.93198	hsa-miR-651-5p
hsa-miR-487b-5p	0.2367	0.0592454	-0.73594	hsa-miR-487b-5p
hsa-miR-302a-5p	0.2367	0.0594684	-1.30287	hsa-miR-302a-5p
hsa-miR-877-5p	0.2369	0.0598098	-0.89904	hsa-miR-877-5p
hsa-miR-876-5p	0.2425	0.0622553	-0.53624	hsa-miR-876-5p
hsa-miR-221-5p	0.2425	0.0623128	-0.35652	hsa-miR-221-5p
hsa-miR-1224-3p	0.2425	0.0629584	-0.2975	hsa-miR-1224-3p
hsa-miR-320d	0.2425	0.0629584	-0.2975	hsa-miR-320d
hsa-miR-520b	0.2425	0.0629584	-0.2975	hsa-miR-520b
RPLP0	0.2425	0.0629584	-0.2975	
hsa-miR-548d-3p	0.2444	0.0637507	-0.93591	hsa-miR-548d-3p
hsa-miR-510-3p	0.2461	0.0648836	-0.59445	hsa-miR-510-3p
